#  ID, log_mass_16, log_mass_50, log_mass_84, log_sfr_16, log_sfr_50, log_sfr_84 
# 
12303.0000000 9.3278638 9.4760000 9.7098306 0.0648595 1.1482941 1.3273625
12353.0000000 8.9557585 9.0018130 9.1776439 0.1669320 0.3627275 0.8068340
12587.0000000 9.1270532 9.2569835 9.4370445 0.1412286 0.5151563 1.0798503
12828.0000000 9.3575256 9.4946914 9.7089978 0.0472201 0.2768870 0.8610154
12996.0000000 9.3712884 9.4666485 9.6647294 0.6926654 1.0763000 1.1747979
13085.0000000 9.0796976 9.1680657 9.2890803 -0.2416253 0.4335298 0.5442757
13096.0000000 10.1974306 10.2741149 10.4766390 1.0999226 1.6323560 1.7620041
13248.0000000 9.5967683 9.7601447 10.0074967 -0.0796175 0.8925205 1.2611277
13311.0000000 9.3715405 9.5066380 9.6200764 0.0932941 0.2636494 0.7723563
13399.0000000 9.4429200 9.5014531 9.7288907 0.7653056 0.9479435 1.0944087
13600.0000000 10.8420454 11.0221448 11.1463780 0.0133977 1.6280000 1.8949079
13636.0000000 10.6459055 10.7840404 10.8357517 -0.8362400 -0.0705087 1.0660083
13889.0000000 9.2107384 9.3278190 9.5090158 -0.3124500 0.3334815 0.7466560
13902.0000000 9.2725626 9.3405000 9.5404588 0.1165534 0.4760490 1.4581856
13994.0000000 8.7506474 8.8364920 9.0106599 0.1434798 0.6194273 1.2079698
14097.0000000 9.5192068 9.5990000 9.7057114 0.3983617 0.7040030 1.0367592
14098.0000000 9.7519502 9.8338523 10.0232963 0.2746899 1.0743620 1.2930800
14221.0000000 9.1053898 9.2133651 9.3372630 -0.0987638 0.1471791 1.2413684
14245.0000000 9.9077716 10.1897262 10.5993403 1.2078434 1.6892556 1.9939024
14287.0000000 9.1009681 9.1753860 9.3681667 0.4120251 0.5469351 0.8456800
14636.0000000 10.0957760 10.2169658 10.3705731 -0.1738781 1.3791849 1.5020201
14649.0000000 8.9005149 8.9920571 9.1472502 -0.3338800 0.1423895 0.4373328
14772.0000000 9.2017701 9.4366498 9.7486918 -0.7333671 0.5470000 1.0031905
14781.0000000 9.5029200 9.5598619 9.8397155 0.0439000 0.9876663 1.4156864
15121.0000000 9.9574887 10.1071551 10.2672081 0.6742164 1.1262800 1.3467650
15153.0000000 9.3800866 9.5180000 9.6139486 -1.9129053 -1.4530000 0.7315358
15299.0000000 8.7460800 9.0632017 9.1908523 0.0559660 0.4200000 0.9218400
15335.0000000 10.4306717 10.6200000 10.9518425 -0.2448741 1.1570000 1.7960296
15584.0000000 9.0185077 9.1412983 9.3217540 0.4369415 0.7497509 1.1829988
15703.0000000 9.2376000 9.3075046 9.4980466 0.3224646 0.7121458 1.1015200
15745.0000000 9.0731169 9.1430328 9.2933923 0.0992353 0.3185978 0.9126944
15752.0000000 9.5085448 9.6583466 9.8319297 0.2637210 0.4755644 0.8685028
15774.0000000 10.2493992 10.4062719 10.7560000 1.0677781 1.4801615 1.7277585
15869.0000000 9.0816453 9.4395015 9.7196058 -0.6156454 1.2871241 1.4756551
15923.0000000 9.0554902 9.3276726 9.6537920 0.8105600 1.3928727 1.5438944
15958.0000000 9.4907887 9.6551947 9.8202992 0.5273493 0.9403172 1.3079440
15966.0000000 9.9145867 10.0661001 10.3166846 1.0870632 1.4248011 1.7902658
15987.0000000 9.5893561 9.6984203 9.8281779 -0.1627022 0.8735043 1.1507016
15990.0000000 9.1435669 9.2585000 9.3506996 -1.5461655 -0.0346702 0.4303378
16047.0000000 9.8186415 9.9550000 10.0627768 0.6938575 0.9971320 1.1782884
16048.0000000 9.8625106 9.9909650 10.2752687 1.1589444 1.8302273 2.0369594
16122.0000000 9.4811166 9.5687046 9.7164832 0.5143028 0.7615799 1.1810334
16235.0000000 9.0461253 9.4825350 9.6189951 0.5310752 1.0313600 1.3512800
16274.0000000 9.0657694 9.1389762 9.2949500 -0.1419079 0.5179872 0.8199190
16335.0000000 10.7001760 10.8745868 11.0467067 -4.2332623 -1.5374250 0.1369522
16359.0000000 10.2929724 10.4485000 10.5489443 -4.2371052 -1.4002859 -0.5639298
16434.0000000 10.5593803 10.7800000 10.9056199 -0.8021948 1.1913534 1.5722261
16439.0000000 10.6359021 10.7424347 10.9775618 1.2178428 1.6745059 1.9762050
16454.0000000 10.1861078 10.3443500 10.5701179 0.3093969 1.7387150 1.9367613
16513.0000000 10.5941128 10.7361814 10.8495387 -0.0398788 0.6970000 1.2067041
16696.0000000 9.6224564 9.7085000 9.8794751 0.6202703 1.2964186 1.5031376
16713.0000000 9.5666188 9.6775441 9.8397808 0.2435515 0.7192036 1.0789008
16853.0000000 9.5325591 9.5985000 9.8799316 0.8537903 1.0360009 1.5421843
16870.0000000 8.7849830 8.9821305 9.1029897 0.0124795 0.6142020 1.4297464
16920.0000000 9.8046159 9.9540000 10.0333067 -0.9896308 -0.5139096 -0.0598784
17025.0000000 8.9745175 9.0884970 9.2797171 -0.0003578 0.2095990 0.7609353
17061.0000000 9.5144141 9.6950687 9.8130529 -0.5135923 0.0139895 1.2671208
17063.0000000 10.1433397 10.3055000 10.4165995 -3.6256415 -1.5940000 0.8161468
17097.0000000 9.1595608 9.2169886 9.3632958 0.0820646 0.4074546 1.0076800
17184.0000000 9.1324741 9.2268800 9.3674142 -0.0987226 0.3604840 1.2284800
17210.0000000 10.4343763 10.5577102 10.8713024 0.5983653 1.5717554 1.8090132
17213.0000000 9.9430120 10.0956660 10.2590955 0.5209658 0.9182992 1.2158312
17224.0000000 9.2165457 9.2715404 9.4927085 -0.0389141 0.3331910 0.7546284
