# ID    tau_v16   tau_v50   tau_v84   age_mw16   age_mw50   age_mw84   Mstar16   Mstar50   Mstar84   SFR16_7   SFR50_7   SFR84_7   SFR16_8   SFR50_8   SFR84_8 Av Av_std 
  14773         0.402   0.402   0.402   9.375   9.375   9.375   9.632   9.637   9.652 0.043   0.023   0.018 0.038   0.018   0.013 0.1825 0.00478147205367 
  14782         0.497   1.127   1.242   8.275   8.525   8.575   9.472   9.502   9.547 0.782   0.817   0.972 0.787   0.817   0.987 0.495 0.0115605482136 
  15122         0.957   1.342   2.527   8.925   9.025   9.125   10.090   10.150   10.180 0.837   0.872   0.932 0.837   0.882   0.937 0.71 0.0165507545145 
  15154         1.087   1.087   1.087   9.225   9.225   9.225   9.342   9.347   9.347 1.648   1.643   1.643 1.633   1.628   1.628 0.59625 0.0110226176564 
  15300         2.882   2.882   3.382   7.825   8.925   8.925   8.742   9.017   9.017 0.642   0.642   0.727 0.277   0.277   0.732 0.6475 0.0178492934034 
  15336         3.917   3.917   3.917   9.275   9.275   9.275   11.170   11.170   11.170 0.567   0.567   0.567 0.582   0.582   0.582 3.15625 0.0582281152022 
  15585         0.407   0.407   1.507   8.025   8.425   8.475   8.902   9.032   9.062 0.427   0.447   0.747 0.432   0.452   0.757 0.495 0.0128612003717 
  15704         0.607   1.217   2.272   8.225   8.275   8.325   9.202   9.217   9.227 0.687   0.777   0.812 0.687   0.777   0.822 0.3925 0.00930762456269 
  15746         0.002   0.002   0.002   7.075   7.075   7.075   7.002   7.002   7.002 2.998   2.998   2.998 2.998   2.998   2.998 0.0325 0.00122131077126 
  15753         0.622   1.197   2.257   8.925   8.925   9.025   9.577   9.592   9.647 0.427   0.472   0.487 0.432   0.477   0.492 0.3225 0.00960960326965 
  15775         2.302   2.827   2.827   8.825   8.825   9.175   10.550   10.560   10.690 1.297   1.317   1.362 1.302   1.322   1.362 1.6675 0.034054287175 
  15870         0.662   0.877   1.192   8.275   8.375   8.625   9.422   9.482   9.507 0.717   0.897   0.962 0.727   0.917   0.977 0.54 0.0124583496098 
  15924         3.167   3.167   3.167   9.275   9.275   9.275   9.642   9.662   9.682 1.082   1.102   1.122 1.087   1.102   1.122 0.7275 0.0167269273927 
  15959         0.682   1.392   2.397   8.725   8.775   8.875   9.527   9.577   9.642 0.527   0.587   0.682 0.537   0.592   0.682 0.4175 0.0119873631379 
  15967         2.347   3.112   3.122   8.925   8.925   9.025   10.250   10.340   10.350 0.887   0.907   1.027 0.892   0.912   1.067 1.945 0.0370494058657 
  15988         0.657   0.922   2.377   8.725   9.025   9.175   9.682   9.762   9.807 0.252   0.447   0.722 0.267   0.457   0.732 0.915 0.0197052651593 
  15991         0.227   0.387   0.387   8.725   8.975   8.975   9.012   9.137   9.147 0.958   0.948   0.693 0.953   0.943   0.683 0.075 0.00184018341477 
  1603         0.532   2.872   2.872   7.825   7.825   8.575   8.992   9.007   9.137 0.492   0.972   0.987 0.492   0.987   1.002 0.8075 0.0172614273744 
  16048         1.432   1.787   1.787   8.625   8.625   8.725   9.792   9.837   9.867 0.532   0.622   0.632 0.547   0.627   0.637 0.455 0.0110644701635 
  16049         4.072   4.072   4.072   8.475   8.475   8.475   10.290   10.300   10.300 1.617   1.627   1.627 1.627   1.637   1.637 1.685 0.0335414739539 
  1609         0.452   0.452   0.452   8.825   8.825   8.825   9.052   9.052   9.052 0.133   0.133   0.133 0.133   0.133   0.133 0.1975 0.00440198818717 
  16123         1.332   1.777   2.047   8.725   8.725   8.925   9.552   9.577   9.627 0.422   0.622   0.677 0.427   0.622   0.687 0.845 0.0193978710172 
  16236         0.837   0.837   0.837   8.425   8.425   8.425   9.487   9.492   9.497 0.862   0.867   0.877 0.877   0.882   0.892 0.71 0.0139841016873 
  16275         0.327   1.737   1.737   8.725   9.225   9.225   9.217   9.247   9.277 0.327   0.702   0.722 0.327   0.702   0.722 0.5625 0.0144587724237 
  16336         1.822   1.822   1.822   9.375   9.375   9.375   10.920   10.930   10.930 0.048   0.043   0.038 0.033   0.028   0.023 0.605 0.0116388261865 
  16360         1.887   1.887   1.887   9.325   9.325   9.325   10.650   10.650   10.660 0.188   0.188   0.183 0.183   0.183   0.178 1.315 0.0243953781483 
  16435         1.647   2.122   2.122   9.275   9.275   9.325   10.830   10.840   10.880 1.037   1.117   1.122 1.052   1.122   1.127 1.2525 0.0263797322769 
  16440         1.602   3.207   3.207   9.275   9.275   9.325   10.950   10.970   11.080 1.382   1.527   1.552 1.392   1.527   1.552 1.47 0.0320716459665 
  16455         0.902   0.902   2.112   8.625   8.625   8.925   10.360   10.360   10.440 0.257   1.577   1.577 1.577   1.577   1.972 0.71 0.0151526986045 
  16514         2.262   2.262   2.262   8.925   8.925   8.925   10.680   10.690   10.700 0.607   0.617   0.622 0.607   0.617   0.622 1.1175 0.0209682116548 
  16697         2.097   2.207   2.207   8.075   8.325   8.325   9.602   9.702   9.702 1.312   1.312   1.342 1.312   1.312   1.352 1.1325 0.0250411780873 
  16714         1.017   1.017   5.097   8.875   9.025   9.075   9.672   9.772   9.777 0.487   0.497   0.572 0.497   0.507   0.577 0.855 0.0167254775717 
  16854         1.032   1.032   1.817   8.775   8.825   8.875   9.672   9.712   9.727 0.502   0.687   0.702 0.602   0.702   0.787 0.5175 0.012245668622 
  16871         0.932   0.932   0.932   9.425   9.425   9.425   9.142   9.142   9.142 1.132   1.132   1.132 0.157   0.157   0.157 0.9275 0.0257622257385 
  16921         1.367   1.367   1.367   9.125   9.125   9.125   9.757   9.762   9.772 0.583   0.578   0.568 0.578   0.573   0.563 0.35 0.00727130490352 
  1695         0.712   1.117   1.117   8.375   8.375   8.875   9.122   9.137   9.257 0.097   0.557   0.582 0.112   0.562   0.582 0.59875 0.0131532610025 
  170         0.127   0.127   0.127   8.775   8.775   8.775   8.707   8.722   8.722 0.233   0.218   0.218 0.228   0.213   0.213 0.1225 0.00250207913544 
  17026         0.607   0.607   2.447   8.525   8.525   8.575   8.997   9.002   9.017 0.468   0.453   0.277 0.282   0.347   0.362 0.48 0.0091171870662 
  17062         1.677   1.677   1.677   9.175   9.175   9.175   9.462   9.467   9.477 1.173   1.168   1.158 1.168   1.163   1.153 0.0775 0.00221169618167 
  17064         4.062   4.062   4.062   9.475   9.475   9.475   10.380   10.400   10.400 1.158   1.143   1.143 1.138   1.123   1.123 0.99 0.0183879607352 
  17098         0.477   1.257   2.157   8.325   8.325   8.625   9.072   9.117   9.152 0.312   0.582   0.617 0.322   0.587   0.627 0.54 0.0129069080341 
  17185         0.527   0.527   4.227   8.625   8.875   8.875   9.157   9.167   9.172 0.533   0.523   0.372 0.317   0.327   0.377 0.5925 0.0130619016609 
  17211         3.427   3.427   4.972   8.975   8.975   9.425   10.640   10.640   10.940 1.342   1.407   1.412 1.342   1.417   1.422 1.7525 0.0369081955668 
  17214         1.047   1.882   4.167   8.875   9.075   9.225   10.020   10.150   10.220 0.288   0.667   0.977 0.273   0.677   0.977 1.4975 0.0300919968596 
  17225         0.017   0.087   0.087   8.775   8.775   9.325   9.182   9.192   9.297 0.908   0.013   0.008 0.003   0.002   0.297 0.05 0.00150308848708 
