# ID    tau_v16   tau_v50   tau_v84   age_mw16   age_mw50   age_mw84   Mstar16   Mstar50   Mstar84   SFR16_7   SFR50_7   SFR84_7   SFR16_8   SFR50_8   SFR84_8 
  18413         0.362   0.387   1.187   8.325   8.475   8.525   8.827   8.912   8.927 0.222   0.237   0.297 0.202   0.242   0.302
  18443         0.387   0.927   0.927   8.675   8.675   8.975   9.192   9.192   9.322 0.177   0.287   0.292 0.182   0.297   0.302
  1848         1.942   2.317   2.792   8.825   8.875   9.025   10.600   10.660   10.680 1.432   1.567   1.637 1.432   1.577   1.637
  1851         1.857   2.082   3.487   9.175   9.375   9.525   10.780   10.930   10.960 0.158   0.002   0.662 0.143   0.017   0.667
  18572         1.302   1.302   2.617   8.475   8.475   8.475   8.902   8.912   8.927 0.242   0.257   0.272 0.252   0.267   0.282
  18619         1.697   3.487   3.487   8.825   9.025   9.175   9.717   9.787   9.842 0.342   0.447   0.472 0.362   0.447   0.472
  1862         1.917   3.462   3.992   8.625   8.675   8.875   10.030   10.060   10.120 0.212   0.687   1.032 0.217   0.692   1.052
  18661         2.027   2.942   4.567   9.075   9.125   9.275   10.290   10.340   10.410 0.702   0.747   0.922 0.717   0.762   0.927
  18715         3.037   3.037   3.672   9.175   9.175   9.275   10.440   10.440   10.480 0.967   1.137   1.142 0.972   1.137   1.142
  1872         1.742   1.977   3.502   9.025   9.125   9.275   9.747   9.797   9.872 0.087   0.317   0.452 0.092   0.322   0.462
  18732         2.037   2.037   2.037   8.775   8.775   8.775   9.302   9.312   9.317 0.212   0.217   0.232 0.227   0.232   0.247
  18767         2.087   2.087   2.087   9.075   9.075   9.075   10.240   10.250   10.250 0.308   0.298   0.293 0.293   0.283   0.278
  18821         3.182   3.567   4.072   8.825   8.825   8.875   10.810   10.830   10.830 1.572   1.717   1.792 1.457   1.717   1.797
  1886         1.967   3.037   3.492   8.725   8.825   9.075   10.020   10.070   10.160 0.812   0.947   1.097 0.812   0.952   1.222
  18908         0.717   1.977   2.217   8.725   8.875   9.025   9.642   9.697   9.742 0.487   0.587   0.667 0.487   0.592   0.682
  18941         4.007   4.007   4.007   9.425   9.425   9.425   10.590   10.590   10.590 0.393   0.393   0.393 0.383   0.383   0.383
  18946         1.152   1.152   1.347   8.825   8.925   8.925   9.242   9.247   9.257 0.062   0.062   0.177 0.072   0.072   0.177
