# ID_0    tau_v16_0   tau_v50_0   tau_v84_0  Mstar16_0   Mstar50_0   Mstar84_0   SFR16_0   SFR50_0   SFR84_0 
  21201         0.532   0.532   3.247   9.172   9.227   9.242   0.248   0.168   0.153
  21226         1.197   1.687   1.802   9.402   9.427   9.447   0.177   0.297   0.367
  21315         0.097   0.097   1.377   8.772   8.777   8.807   0.332   0.797   0.802
  21329         3.427   3.687   4.272   9.892   9.907   9.917   0.447   0.472   0.512
  21379         0.167   0.167   0.167   9.507   9.517   9.522   0.942   0.952   0.957
  2149         0.137   0.137   0.137   8.907   8.927   8.927   0.078   0.058   0.058
  21708         3.962   3.962   3.962   10.730   10.730   10.730   1.782   1.782   1.782
  21772         1.717   1.717   1.717   10.780   10.790   10.790   0.433   0.428   0.428
  21894         3.862   3.862   3.862   10.490   10.490   10.490   0.273   0.273   0.273
  21926         2.107   2.107   2.107   10.900   10.900   10.910   0.352   0.352   0.362
  21963         0.842   3.267   4.082   9.277   9.292   9.332   0.272   0.412   0.627
  21971         1.392   1.392   1.392   9.262   9.267   9.277   1.393   1.388   1.378
  22002         4.062   4.062   4.062   11.380   11.380   11.380   0.143   0.143   0.138
  22059         2.512   2.587   3.537   10.770   10.860   10.900   0.312   0.697   0.817
  22173         0.137   0.217   0.342   10.050   10.130   10.230   0.227   0.392   0.567
  22279         3.342   3.382   3.382   10.500   10.510   10.520   0.662   1.477   1.477
  2228         1.987   2.677   3.072   10.530   10.560   10.650   1.002   1.117   1.152
  22312         0.267   0.267   0.267   8.292   8.302   8.312   0.232   0.242   0.252
  22343         0.967   1.222   2.382   9.932   9.947   10.040   0.332   0.502   0.552
  22371         2.097   3.022   3.882   10.820   10.870   10.900   1.777   1.902   2.047
  22385         2.172   3.207   4.187   10.130   10.140   10.160   1.152   1.232   1.297
  22456         2.302   2.722   3.977   10.540   10.570   10.600   1.097   1.222   1.407
  22632         1.217   1.217   1.217   8.827   8.832   8.842   0.717   0.727   0.732
  22697         1.027   1.532   2.792   9.112   9.137   9.157   0.012   0.087   0.132
  22727         0.797   0.797   0.797   9.077   9.077   9.077   0.088   0.088   0.088
  22795         4.612   4.612   4.612   10.210   10.210   10.210   0.012   0.012   0.017
  22804         0.307   0.557   1.372   9.202   9.267   9.327   0.232   0.427   0.492
