# ID      zz                   CTIO_U             eCTIO_U           VIMOS_U            eVIMOS_U           ACS_F435W         eACS_F435W         ACS_F606W         eACS_F606W         ACS_F775W        eACS_F775W         ACS_F814W        eACS_F814W        ACS_F850LP       eACS_F850LP        WFC3_F098M   eWFC3_F098M   WFC3_F105W       eWFC3_F105W        WFC3_F125W       eWFC3_F125W        WFC3_F160W       eWFC3_F160W        ISAAC_KS         eISAAC_KS         HAWKI_KS         eHAWKI_KS         IRAC_CH1         eIRAC_CH1         IRAC_CH2          eIRAC_CH2         IRAC_CH3         eIRAC_CH3        IRAC_CH4          eIRAC_CH4        flg1   flg2   ID_MIPSord        ID_PACSord                 ID_SPIREord                 MIPS24   eMIPS24   PACS100    ePACS100   PACS160     ePACS160   SPIRE250    eSPIRE250   SPIRE350    eSPIRE350   SPIRE500     eSPIRE500   MIPSord   MIPS_ncount   MIPS24_flg   MIPS24_nPSF   PACSord   PACS_ncount   PACS100_flg   PACS160_flg   PACS100_nPSF   PACS160_nPSF   SPIREord   SPIRE_ncount   SPIRE250_flg   SPIRE350_flg   SPIRE500_flg   SPIRE250_nPSF   SPIRE350_nPSF   SPIRE500_nPSF  
  601     1.025                0.519039010197     0.0172098934209   0.556672798151     0.0102542918936    0.560273394794    0.0242534507368    0.607575146106    0.0128707399635    1.02140975199    0.0291633475728    1.19343837921    0.0296783289509   1.49004711179    0.0315648344606    -99.0        -99.0         1.61435855683    0.0401457378351    1.76685129845    0.0227826225836    1.74260918983    0.0321000475473    2.09700757854    0.108159259942    -99.0            -99.0             2.8470821598     0.107512642611    2.15575796804     0.0814065850455   0.964717151896   0.349195171934   0.98174794302     0.355359745688   0      0.0    -99.00            GDS033227.91-275548.09     GDS033228.24-275551.05_1    -99.00       -99.00        0.00       0.00       5373.10     730.73     5713.20     1468.30     0.00        0.00        12119.00     2157.10     -99.00        0             0            0             1         1             0             1             4              8              1.0        10             1              0              1              19              19              44             
  744     1.0363               0.917064749115     0.0185822526615   0.979039017448     0.0117224673646    1.07349493581     0.0257068597405    1.5674727518      0.0115495660543    2.78227465768    0.0179379876239    3.32966085207    0.0460009646562   4.3732066517     0.0322229774233    -99.0        -99.0         5.06757284177    0.0606762919523    6.18870811419    0.0456000865556    6.98232404077    0.0578786229026    8.45668200099    0.132411163399    -99.0            -99.0             12.659017493     0.104934473897    9.94489037155     0.0824362427556   7.96526079784    0.374150091808   6.86752106149     0.379513238928   0      0.0    MIPS0007935_1     -99.00                              -99.00                      70.28    6.04      -99.00         -99.00         -99.00          -99.00         -99.00      -99.00      -99.00      -99.00      -99.00       -99.00      1         2             1            1             -99.00        0             0             0             0              0              -99.0      0              0              0              0              0               0               0              
  797     1.0170000000000001   0.169668023235     0.0175022427354   0.17571142466      0.00663528431627   0.233130985742    0.0259813103322    0.531618395074    0.0161580750099    1.41905752169    0.0392100083465    1.77010895832    0.0440189262043   2.69401494106    0.0421817507765    -99.0        -99.0         3.70510056302    0.0614254271361    5.43500565129    0.0350407763804    7.33162089027    0.0405160343266    12.1562605524    0.123159627072    -99.0            -99.0             21.2031311674    0.0976440275017   16.7032122582     0.0769211351015   12.5660852008    0.370361349895   11.6627240508     0.375961803604   0      0.03   MIPS0001567       GDS033225.20-275524.92_1   -99.00                      80.61    7.09      -1134.50   530.96     -507.10     -341.49    -99.00      -99.00      -99.00      -99.00      -99.00       -99.00      1         1             1            1             1         4             -1            -1            5              9              -99.0      0              0              0              0              0               0               0              
  931     1.08966              0.15718098282      0.0159245938696   0.173940213978     0.007209218588     0.191073298104    0.0190063812046    0.28973435877     0.0098736426284    0.58505945195    0.0253264044444    0.686119875282   0.0252775903493   1.05002587211    0.0261119583401    -99.0        -99.0         1.25198752062    0.0380530629812    1.54739076282    0.0242283925439    1.76197604641    0.0324567982294    2.28665160292    0.124258953493    -99.0            -99.0             3.50913438359    0.103425030668    2.59656979027     0.0813119913312   1.71237942124    0.351706620139   1.00092145832     0.359534265353   0      0.01   -99.00            -99.00                              -99.00                      -99.00       -99.00        -99.00         -99.00         -99.00          -99.00         -99.00      -99.00      -99.00      -99.00      -99.00       -99.00      -99.00        0             0            0             -99.00        0             0             0             0              0              -99.0      0              0              0              0              0               0               0              
  952     1.032                0.341979442514     0.0170086341552   0.358426408044     0.00891331888425   0.35579513056     0.0213004626585    0.439744078447    0.0125555971811    0.711868867262   0.0281931846411    0.779112191113   0.0279859650256   1.00184376572    0.0286046984538    -99.0        -99.0         1.01952997756    0.0394389160737    1.18904967899    0.0295691911091    1.32678331072    0.0391044028532    1.47910838817    0.104897806106    -99.0            -99.0             2.19179534384    0.104973341941    1.65500762877     0.0838375096855   1.54596621939    0.357395764612   1.94804955329     0.36422664878    0      0.0    -99.00            -99.00                              -99.00                      -99.00       -99.00        -99.00         -99.00         -99.00          -99.00         -99.00      -99.00      -99.00      -99.00      -99.00       -99.00      -99.00        0             0            0             -99.00        0             0             0             0              0              -99.0      0              0              0              0              0               0               0              
  994     1.034                0.672976656284     0.0179751977936   0.681710526306     0.0100460575719    0.80835103739     0.043926610347     1.25545167369     0.0185010195764    2.33130985742    0.0450915303287    2.71393848764    0.0449933349956   3.53834356815    0.0456250880619    -99.0        -99.0         4.03273792976    0.0668572001353    4.85288500162    0.044696722651     5.53604995043    0.0611866852317    6.13762005165    0.141323924374    -99.0            -99.0             10.6561420216    0.147220042606    9.52357486192     0.0964869026399   9.31536765239    0.377509909782   10.1297796876     0.382524747145   0      0.0    MIPS0026492       GDS033225.42-275504.18_1   GDS033225.59-275508.24_2    76.00    5.47      1760.40    522.84     0.00        0.00       -7199.10    1526.20     -5487.10    2617.40     -1672.10     -742.16     1         1             1            1             1         3             1             0             5              10             2.0        12             1              -1             -1             0               0               0              
  1025    1.089                0.203048600272     0.0158962471247   0.201187039515     0.00741200444945   0.183147080466    0.0165311001024    0.330826278856    0.0106645792129    0.669884609417   0.0271474071558    0.762079010025   0.0245665247544   1.16198360387    0.0278258876956    -99.0        -99.0         1.4256075936     0.0328258279349    1.74904103997    0.0257748212842    2.17570495093    0.0320623730352    3.04789498963    0.078602020763    -99.0            -99.0             4.37723637935    0.100789592356    3.53834356815     0.0814733715391   2.3205984616     0.341976027168   2.58226019063     0.347239031157   0      0.01   -99.00            -99.00                              -99.00                      -99.00       -99.00        -99.00         -99.00         -99.00          -99.00         -99.00      -99.00      -99.00      -99.00      -99.00       -99.00      -99.00        0             0            0             -99.00        0             0             0             0              0              -99.0      0              0              0              0              0               0               0              
  1205    1.015                0.30732649292      0.0169834896307   0.287078058202     0.00793225988811   0.318859969339    0.0176208530916    0.396278034255    0.00912463894358   0.612632454444   0.0146706389137    0.652228842466   0.0372449477651   0.812830516164   0.0202134034402    -99.0        -99.0         0.879022516831   0.0356228249284    1.01297796876    0.0289226028329    0.963829023624   0.0363964928087    0.916220490122   0.145989554458    -99.0            -99.0             1.36144468247    0.109092509631    1.06561420216     0.11090576543     0.912851219331   0.387593607239   0.676082975392    0.3835803863     0      0.0    -99.00            -99.00                              -99.00                      -99.00       -99.00        -99.00         -99.00         -99.00          -99.00         -99.00      -99.00      -99.00      -99.00      -99.00       -99.00      -99.00        0             0            0             -99.00        0             0             0             0              0              -99.0      0              0              0              0              0               0               0              
  1256    1.09                 0.298400811593     0.0186889366859   0.311888958409     0.00861781039563   0.503037081085    0.041234970355     1.4804713249      0.0204534672199    4.96135153586    0.0548348836203    7.04693068967    0.0778855562755   12.1450693772    0.0671161336829    -99.0        -99.0         17.1237942124    0.0946295838938    23.8781128291    0.065977663979     32.5087297385    0.0898249397858    47.6869998102    0.131764049871    -99.0            -99.0             89.6189806862    0.0825421315909   74.6792589931     0.0687821394053   51.1917528       0.377194774021   39.8841186909     0.36734630858    0      0.03   MIPS0017987       -99.00                              -99.00                      109.96   6.38      -99.00         -99.00         -99.00          -99.00         -99.00      -99.00      -99.00      -99.00      -99.00       -99.00      1         1             1            1             -99.00        0             0             0             0              0              -99.0      0              0              0              0              0               0               0              
  1603    1.04316              0.698232404077     0.0167204910608   0.717133482658     0.00990756520113   0.791407205399    0.0269697800179    0.889610704409    0.0155678730337    1.37911346902    0.0355658924916    1.3689891307     0.0567398513668   1.63230007282    0.0195442510378    -99.0        -99.0         -99.0            -99.0              1.971514611      0.029053312985     1.83653834335    0.0355218008217    -99.0            -99.0             -99.0            -99.0             3.08176841661    0.107859717045    2.25112701591     0.122328511619    2.20597202175    0.400259737476   1.75065270838     0.393428218543   0      0.0    -99.00            -99.00                              GDS033257.94-275412.78_3    -99.00       -99.00        -99.00         -99.00         -99.00          -99.00         -3358.00    1296.20     0.00        0.00        -3639.90     -696.38     -99.00        0             0            0             -99.00        0             0             0             0              0              3.0        10             -1             0              1              0               0               0              
